loan_id,customer_id,branch_id,loan_type,loan_start_date,loan_amount,interest_rate_pct,term_months,emi_amount,outstanding_balance,loan_status,default_status,days_past_due,customer_name,customer_segment,annual_income,city,home_branch_id,declared_risk_segment,credit_score,credit_score_band,past_due_accounts,credit_utilization_pct,hard_inquiries_12m,credit_history_years,total_payment_records,total_amount_paid,paid_payments,late_payments,max_days_late,average_days_late,repayment_rate_pct,late_payment_rate_pct,branch_name,city_branch,loan_to_income_ratio,low_credit_score_flag,high_utilization_flag,high_loan_to_income_flag,high_interest_flag,late_payment_flag,poor_repayment_flag,past_due_accounts_flag,high_inquiry_flag,default_flag,loan_risk_score,loan_risk_level,income_band,interest_rate_band,loan_amount_band
L00001,C00636,B025,Home,2022-09-16,189594.98,16.44,12,18397.03,157595.27,Active,No,18,Kavya Kumar,Premium,65416.0,Chennai,B025,Low,688.0,Good,0.0,39.8,1.0,10.0,12,220560.47,10,12,9,4.25,83.33333333333334,100.0,Hyderabad Branch 3,Hyderabad,2.8982967469732177,0,0,1,1,0,0,0,0,0,25,Medium,Upper Middle,Very High Rate,Medium Loan
L00002,C00481,B002,Education,2022-02-04,297903.3,13.76,12,28241.23,112612.87,Defaulted,Yes,72,Pooja Iyer,Senior Citizen,84011.0,Mumbai,B002,Low,746.0,Good,0.0,41.5,6.0,2.0,10,249791.03,3,10,60,18.1,30.0,100.0,Bengaluru Branch 1,Bengaluru,3.5460034995417264,0,0,1,0,1,1,0,1,1,70,Critical,High Income,High Rate,Medium Loan
L00003,C00107,B014,Education,2025-03-11,779953.63,14.58,36,31141.82,692301.19,Active,No,3,Lakshmi Patel,Mass Affluent,12000.0,Coimbatore,B014,Medium,691.0,Good,0.0,69.0,4.0,7.0,18,562305.51,13,15,10,4.055555555555555,72.22222222222221,83.33333333333334,Delhi Branch 2,Delhi,64.99613583333334,0,0,1,0,0,1,0,0,0,25,Medium,Low Income,High Rate,Large Loan
L00004,C00681,B024,Education,2023-11-30,970548.62,11.74,60,25671.01,236746.2,Active,No,10,Naveen Singh,Premium,32243.0,Coimbatore,B024,Low,794.0,Excellent,0.0,62.9,3.0,11.0,24,617877.91,11,22,10,5.333333333333333,45.83333333333333,91.66666666666666,Delhi Branch 3,Delhi,30.101064417082778,0,0,1,0,0,1,0,0,0,25,Medium,Low Income,Moderate Rate,Large Loan
L00005,C00865,B015,Education,2022-12-12,775837.01,13.71,12,73517.02,503713.9,Active,No,0,Priya Singh,Mass Affluent,70424.0,Kolkata,B015,Medium,733.0,Good,0.0,64.0,6.0,11.0,12,878475.53,7,10,10,4.666666666666667,58.333333333333336,83.33333333333334,Hyderabad Branch 2,Hyderabad,11.016656395546972,0,0,1,0,0,1,0,1,0,30,Medium,Upper Middle,High Rate,Large Loan
L00006,C00771,B004,Home,2024-10-02,920450.34,15.27,24,50064.83,403486.3,Active,No,2,Ajay Singh,Retail,64327.0,Coimbatore,B004,Medium,723.0,Good,0.0,54.9,1.0,8.0,23,1156789.57,13,21,10,4.608695652173913,56.52173913043478,91.30434782608695,Delhi Branch 1,Delhi,14.308926889175618,0,0,1,1,0,1,0,0,0,35,Medium,Upper Middle,High Rate,Large Loan
L00007,C00662,B012,Home,2025-07-09,563407.17,17.12,84,14745.17,493049.81,Active,No,20,Sanjay Patel,Mass Affluent,49095.0,Delhi,B012,Low,669.0,Good,1.0,38.4,5.0,3.0,14,207018.12,9,14,10,4.642857142857143,64.28571428571429,100.0,Bengaluru Branch 2,Bengaluru,11.475856400855486,0,0,1,1,0,1,0,1,0,40,Medium,Lower Middle,Very High Rate,Large Loan
L00008,C00373,B023,Business,2023-11-20,82235.29,14.15,36,3254.0,35571.18,Active,No,19,Geetha Verma,Retail,37786.0,Bengaluru,B023,Low,708.0,Good,1.0,32.6,8.0,7.0,24,78399.98,11,23,10,5.875,45.83333333333333,95.83333333333334,Mumbai Branch 3,Mumbai,2.176342825385063,0,0,1,0,0,1,0,1,0,30,Medium,Lower Middle,High Rate,Small Loan
L00009,C00371,B018,Personal,2023-01-19,866319.05,15.44,48,29194.95,0.0,Closed,No,6,Arun Gupta,Sme Owner,28150.0,Pune,B018,Low,666.0,Good,0.0,9.4,7.0,9.0,24,700403.75,7,24,10,6.625,29.166666666666668,100.0,Madurai Branch 2,Madurai,30.775099467140322,0,0,1,1,0,1,0,1,0,40,Medium,Low Income,High Rate,Large Loan
L00010,C00937,B002,Education,2024-09-17,284761.41,19.44,84,8003.15,170399.11,Active,No,19,Karthik Gupta,Retail,35246.0,Chennai,B002,Medium,579.0,Fair,1.0,20.9,2.0,3.0,24,191181.6,13,20,10,5.083333333333333,54.166666666666664,83.33333333333334,Bengaluru Branch 1,Bengaluru,8.079254667196277,1,0,1,1,0,1,0,0,0,55,High,Low Income,Very High Rate,Medium Loan
L00011,C00699,B016,Personal,2025-04-03,827588.28,16.55,84,21266.06,400470.08,Defaulted,Yes,36,Priya Singh,Retail,79180.0,Kochi,B016,Low,614.0,Fair,0.0,80.2,3.0,5.0,12,234352.03,5,12,36,12.333333333333334,41.66666666666667,100.0,Pune Branch 2,Pune,10.451986360191968,0,1,1,1,1,1,0,0,1,70,Critical,High Income,Very High Rate,Large Loan
L00012,C00455,B010,Education,2023-11-07,440184.61,14.87,36,17681.97,98949.88,Active,No,18,Rahul Patel,Retail,42400.0,Chennai,B010,Medium,702.0,Good,0.0,47.8,2.0,8.0,24,425306.74,11,23,10,5.333333333333333,45.83333333333333,95.83333333333334,Kochi Branch 1,Kochi,10.381712499999999,0,0,1,0,0,1,0,0,0,25,Medium,Lower Middle,High Rate,Medium Loan
L00013,C00633,B019,Personal,2024-02-25,1549842.57,10.94,60,39960.11,0.0,Closed,No,7,Geetha Reddy,Sme Owner,43003.0,Kolkata,B019,Low,829.0,Excellent,0.0,30.1,0.0,5.0,24,962468.53,9,23,10,5.958333333333333,37.5,95.83333333333334,Coimbatore Branch 2,Coimbatore,36.04033602306816,0,0,1,0,0,1,0,0,0,25,Medium,Lower Middle,Moderate Rate,Very Large Loan
L00014,C00201,B010,Business,2025-03-25,160093.78,15.01,60,4670.74,0.0,Closed,No,11,Ajay Patel,Student,47340.0,Kochi,B010,Low,690.0,Good,0.0,33.7,8.0,5.0,18,84129.57,12,15,10,3.8333333333333335,66.66666666666666,83.33333333333334,Kochi Branch 1,Kochi,3.3817866497676383,0,0,1,1,0,1,0,1,0,40,Medium,Lower Middle,High Rate,Small Loan
L00015,C00161,B025,Business,2026-04-11,119180.75,13.15,36,4616.6,26728.39,Active,No,11,Rohit Patel,Student,36865.0,Madurai,B025,Low,718.0,Good,0.0,45.2,0.0,10.0,5,23147.57,1,5,10,8.0,20.0,100.0,Hyderabad Branch 3,Hyderabad,3.2328970568289708,0,0,1,0,0,1,0,0,0,25,Medium,Low Income,High Rate,Small Loan
L00016,C00787,B015,Personal,2022-04-10,260785.39,12.14,36,9882.32,182231.08,Active,No,7,Sanjay Gupta,Retail,61238.0,Chennai,B015,Low,774.0,Excellent,2.0,65.2,0.0,7.0,24,236138.34,12,22,10,5.333333333333333,50.0,91.66666666666666,Hyderabad Branch 2,Hyderabad,4.258554982200595,0,0,1,0,0,1,1,0,0,35,Medium,Upper Middle,High Rate,Medium Loan
L00017,C00898,B020,Personal,2025-04-18,352851.72,14.78,48,11697.03,53616.23,Defaulted,Yes,115,Rahul Kumar,Retail,112698.0,Delhi,B020,Low,701.0,Good,0.0,1.0,8.0,12.0,16,162596.07,5,16,60,20.625,31.25,100.0,Kochi Branch 2,Kochi,3.1309492626311024,0,0,1,0,1,1,0,1,1,70,Critical,High Income,High Rate,Medium Loan
L00018,C00501,B002,Personal,2022-12-14,305201.18,12.81,60,8344.71,0.0,Closed,No,6,Naveen Nair,Sme Owner,46868.0,Pune,B002,Low,804.0,Excellent,0.0,41.5,8.0,8.0,24,200432.77,15,21,10,5.0,62.5,87.5,Bengaluru Branch 1,Bengaluru,6.511930955022617,0,0,1,0,0,1,0,1,0,30,Medium,Lower Middle,High Rate,Medium Loan
L00019,C00479,B021,Personal,2024-11-30,1837723.36,13.43,48,58853.09,1411996.11,Active,No,13,Sanjay Kumar,Retail,135012.0,Kochi,B021,Low,817.0,Excellent,0.0,16.7,5.0,11.0,22,1292291.78,12,21,10,5.045454545454546,54.54545454545454,95.45454545454545,Chennai Branch 3,Chennai,13.611555713566203,0,0,1,0,0,1,0,1,0,30,Medium,High Income,High Rate,Very Large Loan
